Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9709864603481625,0.9902912621359223,0.7786259541984732,0.8717948717948718,0.9825729333096632
Logistic Regression,0.965183752417795,0.9357798165137615,0.7786259541984732,0.85,0.9901811603391578
Linear SVM,0.9845261121856866,0.9752066115702479,0.9007633587786259,0.9365079365079365,0.995583001530099
Random Forest,0.9806576402321083,1.0,0.8473282442748091,0.9173553719008265,0.9954731049174508
KNN,0.8994197292069632,1.0,0.20610687022900764,0.34177215189873417,0.7960826084383691
